comparison,method,method_display,budget_steps,metric,metric_display,kind,direction,proposed_mean,baseline_mean,delta,ci_low,ci_high,raw_p,holm_p,favorable_cross_seed_pairs,total_cross_seed_pairs,favorable_ci,confirmatory,strict_superiority
proposed_minus_hatrpo,hatrpo,HATRPO,1000000,objective_s,Objective/s,value,higher,-0.5637748352781808,-4.805289905158586,4.241515069880405,4.100695568737135,4.3790869409095015,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_hatrpo,hatrpo,HATRPO,1000000,risk_065,Risk <0.65 m,rate,lower,0.21787327627199238,0.29930456490727536,-0.08143128863528298,-0.12158263492629581,-0.03755052306229195,2.9999850000749997e-05,nan,9,9,True,False,
proposed_minus_hatrpo,hatrpo,HATRPO,1000000,risk_100,Risk <1.0 m,rate,lower,0.4904451973371374,0.5586216119828816,-0.06817641464574425,-0.13051295767950544,0.0007727056585830061,0.02593487032564837,nan,9,9,False,False,
proposed_minus_mappo,mappo,MAPPO,3000000,success,Success,rate,higher,0.9127604166666666,0.0013020833333333333,0.9114583333333333,0.8815104166666666,0.94140625,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_mappo,mappo,MAPPO,3000000,collision,Collision,rate,lower,0.07421875,0.6393229166666666,-0.5651041666666666,-0.6315104166666666,-0.49348958333333337,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_mappo,mappo,MAPPO,3000000,deadlock,Deadlock,rate,lower,0.013020833333333334,0.359375,-0.3463541666666667,-0.41015625,-0.28515625,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_mappo,mappo,MAPPO,3000000,progress,Goal progress,value,higher,2.3595063316774905,-1.4328029011764254,3.792309232853916,3.4599380297154494,4.085589127985372,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_mappo,mappo,MAPPO,3000000,objective_s,Objective/s,value,higher,-0.5637748352781808,-3.7112510739571967,3.147476238679016,2.954422028154605,3.3547912002194784,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_mappo,mappo,MAPPO,3000000,risk_065,Risk <0.65 m,rate,lower,0.21787327627199238,0.10158107465525439,0.11629220161673799,0.07474404125059436,0.15724560152163572,4.9999750001249995e-06,nan,0,9,False,False,
proposed_minus_mappo,mappo,MAPPO,3000000,risk_100,Risk <1.0 m,rate,lower,0.4904451973371374,0.28728304802662863,0.20316214931050874,0.125371493105088,0.2802841179267713,4.9999750001249995e-06,nan,0,9,False,False,
proposed_minus_ippo,ippo,IPPO,3000000,success,Success,rate,higher,0.9127604166666666,0.032552083333333336,0.8802083333333333,0.81640625,0.9322916666666666,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_ippo,ippo,IPPO,3000000,collision,Collision,rate,lower,0.07421875,0.3098958333333333,-0.23567708333333331,-0.3046875,-0.1640625,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_ippo,ippo,IPPO,3000000,deadlock,Deadlock,rate,lower,0.013020833333333334,0.6575520833333334,-0.64453125,-0.69140625,-0.5950520833333334,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_ippo,ippo,IPPO,3000000,progress,Goal progress,value,higher,2.3595063316774905,0.1939925398376848,2.1655137918398055,1.0773476745484285,3.067902295028671,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_ippo,ippo,IPPO,3000000,objective_s,Objective/s,value,higher,-0.5637748352781808,-2.199022489514134,1.635247654235953,1.0942972675195537,2.118702567170957,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_ippo,ippo,IPPO,3000000,risk_065,Risk <0.65 m,rate,lower,0.21787327627199238,0.2944602948169282,-0.07658701854493583,-0.17194186875891584,0.015350095102234895,0.0033499832500837497,nan,9,9,False,False,
proposed_minus_ippo,ippo,IPPO,3000000,risk_100,Risk <1.0 m,rate,lower,0.4904451973371374,0.6065442225392297,-0.11609902520209231,-0.2424668628150261,0.006300523062291899,0.0022749886250568747,nan,9,9,False,False,
proposed_minus_lagrangian,lagrangian,MAPPO-Lagrangian,3000000,success,Success,rate,higher,0.9127604166666666,0.00390625,0.9088541666666666,0.8776041666666666,0.9388020833333334,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_lagrangian,lagrangian,MAPPO-Lagrangian,3000000,collision,Collision,rate,lower,0.07421875,0.6861979166666666,-0.6119791666666666,-0.6614583333333334,-0.55859375,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_lagrangian,lagrangian,MAPPO-Lagrangian,3000000,deadlock,Deadlock,rate,lower,0.013020833333333334,0.3098958333333333,-0.296875,-0.34375,-0.2552083333333333,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_lagrangian,lagrangian,MAPPO-Lagrangian,3000000,progress,Goal progress,value,higher,2.3595063316774905,-1.2307988671042647,3.5903051987817554,3.3274183298253814,3.818499612774917,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_lagrangian,lagrangian,MAPPO-Lagrangian,3000000,objective_s,Objective/s,value,higher,-0.5637748352781808,-3.801572752458806,3.2377979171806253,2.978288723348922,3.513651548368825,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_lagrangian,lagrangian,MAPPO-Lagrangian,3000000,risk_065,Risk <0.65 m,rate,lower,0.21787327627199238,0.12724381835473134,0.09062945791726104,0.043375534950071376,0.1402906562054208,4.9999750001249995e-06,nan,0,9,False,False,
proposed_minus_lagrangian,lagrangian,MAPPO-Lagrangian,3000000,risk_100,Risk <1.0 m,rate,lower,0.4904451973371374,0.34773240608654304,0.14271279125059433,0.04279563421302899,0.2513225154541131,1.4999925000374999e-05,nan,0,9,False,False,
proposed_minus_mat,mat,MAT,3000000,success,Success,rate,higher,0.9127604166666666,0.00390625,0.9088541666666666,0.875,0.94140625,4.9999750001249995e-06,nan,9,9,True,False,
